,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
116,50,0.2,1,0,0,0.0
117,50,0.2,1834,99,1,0.7162013053894043
118,50,0.2,1806,99,1,0.6562886238098145
119,50,0.2,1856,99,1,0.7267944812774658
120,50,0.2,1891,99,1,0.7329118251800537
121,50,0.2,1835,99,1,1.0094528198242188
122,50,0.2,1647,99,1,0.7489879131317139
123,50,0.2,1754,99,1,0.7011368274688721
124,50,0.2,1820,99,1,0.7749276161193848
125,50,0.2,1924,99,1,0.8072056770324707
126,50,0.2,1790,99,1,0.6837899684906006
127,50,0.2,1823,99,1,0.6843900680541992
128,50,0.2,1753,99,1,0.6509706974029541
129,50,0.2,1592,99,1,0.5326893329620361
130,50,0.2,1838,99,1,0.7146329879760742
131,50,0.2,1769,99,1,0.648198127746582
132,50,0.2,1985,0,0,0.8256089687347412
133,50,0.2,1800,99,1,0.9802341461181641
134,50,0.2,1950,99,1,0.7788617610931396
135,50,0.2,1841,99,1,0.8059060573577881
136,50,0.2,1723,99,1,0.6166651248931885
137,50,0.2,1846,99,1,0.7069616317749023
138,50,0.2,1,0,0,0.0
139,50,0.2,1610,103,1,0.7020714282989502
140,50,0.2,1867,99,1,0.8416199684143066
141,50,0.2,1874,99,1,0.7397990226745605
142,50,0.2,1793,99,1,0.7163975238800049
143,50,0.2,1841,99,1,0.8658504486083984
144,50,0.2,1779,99,1,0.6576967239379883
145,50,0.2,1826,99,1,0.6833033561706543
146,50,0.2,1829,99,1,0.6833462715148926
147,50,0.2,1821,99,1,0.6831927299499512
148,50,0.2,1,0,0,0.0
149,50,0.2,1739,99,1,0.7339022159576416
150,50,0.2,1853,99,1,0.6777184009552002
151,50,0.2,1794,99,1,0.7053306102752686
152,50,0.2,1857,99,1,0.6862103939056396
153,50,0.2,1846,99,1,0.6635463237762451
154,50,0.2,1824,99,1,0.6799464225769043
155,50,0.2,1762,99,1,0.6174325942993164
156,50,0.2,1847,99,1,0.7976720333099365
157,50,0.2,1985,0,0,1.0000617504119873
158,50,0.2,3,0,0,0.0
159,50,0.2,5,0,0,0.015479326248168945
160,50,0.2,1835,99,1,0.7523589134216309
161,50,0.2,1725,99,1,0.6648299694061279
162,50,0.2,2024,0,0,0.9000687599182129
163,50,0.2,1936,99,1,0.834601879119873
164,50,0.2,4,0,0,0.0
165,50,0.2,1776,99,1,0.7502443790435791
166,50,0.2,9,0,0,0.00348663330078125
167,50,0.2,1778,99,1,0.7083325386047363
168,50,0.2,1856,99,1,0.7710516452789307
169,50,0.2,1757,99,1,0.8329558372497559
170,50,0.2,1784,99,1,0.6983845233917236
171,50,0.2,1814,99,1,0.6799287796020508
172,50,0.2,1846,99,1,0.8001043796539307
173,50,0.2,1720,99,1,0.7425737380981445
174,50,0.2,1754,99,1,0.7844221591949463
175,50,0.2,1839,101,1,0.7675430774688721
176,50,0.2,1878,99,1,0.8156230449676514
177,50,0.2,1792,99,1,0.7737796306610107
178,50,0.2,1770,99,1,0.8361265659332275
179,50,0.2,1815,99,1,0.8354501724243164
180,50,0.2,1843,99,1,0.7344403266906738
181,50,0.2,1824,99,1,0.8901188373565674
182,50,0.2,1851,99,1,1.1397225856781006
183,50,0.2,1844,99,1,0.9573256969451904
184,50,0.2,1981,0,0,1.0080554485321045
185,50,0.2,1834,99,1,0.705364465713501
186,50,0.2,1981,0,0,0.8203773498535156
187,50,0.2,1708,99,1,0.6490063667297363
188,50,0.2,1745,99,1,0.7004392147064209
189,50,0.2,1800,99,1,0.770071268081665
190,50,0.2,1923,99,1,0.8319501876831055
191,50,0.2,1857,99,1,0.8331053256988525
192,50,0.2,1994,0,0,0.9010984897613525
193,50,0.2,1800,99,1,0.7948734760284424
194,50,0.2,1894,99,1,0.7833206653594971
195,50,0.2,1802,99,1,0.7489914894104004
196,50,0.2,1995,0,0,0.825934886932373
197,50,0.2,1688,103,1,0.8449797630310059
198,50,0.2,1724,99,1,0.7486441135406494
199,50,0.2,1835,99,1,0.7042171955108643
200,50,0.3,1649,0,0,0.5494821071624756
201,50,0.3,1363,103,1,0.38744330406188965
202,50,0.3,1412,103,1,0.4322190284729004
203,50,0.3,3,0,0,0.0
204,50,0.3,1747,0,0,0.654320240020752
205,50,0.3,5,0,0,0.0024559497833251953
206,50,0.3,3,0,0,0.017901182174682617
207,50,0.3,1382,99,1,0.45333242416381836
208,50,0.3,1137,99,1,0.33359646797180176
209,50,0.3,1336,101,1,0.39652204513549805
210,50,0.3,1,0,0,0.0
211,50,0.3,9,0,0,0.016635417938232422
212,50,0.3,1,0,0,0.0
213,50,0.3,1445,103,1,0.44977283477783203
214,50,0.3,1681,0,0,0.6175601482391357
215,50,0.3,1111,99,1,0.37897276878356934
216,50,0.3,4,0,0,0.015708208084106445
217,50,0.3,1253,99,1,0.37418556213378906
218,50,0.3,1717,0,0,0.5735073089599609
219,50,0.3,915,101,1,0.19886374473571777
220,50,0.3,1688,0,0,0.5957303047180176
221,50,0.3,1240,99,1,0.36606574058532715
222,50,0.3,1493,111,1,0.47722840309143066
223,50,0.3,1537,0,0,0.5330064296722412
224,50,0.3,3,0,0,0.009114265441894531
225,50,0.3,8,0,0,0.01230168342590332
226,50,0.3,1210,105,1,0.5094530582427979
227,50,0.3,990,103,1,0.23467707633972168
228,50,0.3,1738,0,0,0.6076371669769287
229,50,0.3,1293,99,1,0.38154101371765137
230,50,0.3,1364,99,1,0.39868640899658203
231,50,0.3,1684,0,0,0.5991928577423096
232,50,0.3,1701,0,0,0.5655100345611572
233,50,0.3,23,0,0,0.0
234,50,0.3,4,0,0,0.0
235,50,0.3,4,0,0,0.0
236,50,0.3,1718,0,0,0.5674741268157959
237,50,0.3,11,0,0,0.0010476112365722656
238,50,0.3,1148,99,1,0.2919454574584961
239,50,0.3,1123,103,1,0.2679312229156494
240,50,0.3,1370,109,1,0.4154987335205078
241,50,0.3,9,0,0,0.0
242,50,0.3,20,0,0,0.0
243,50,0.3,1728,0,0,0.6362526416778564
244,50,0.3,1179,99,1,0.29877400398254395
245,50,0.3,1470,103,1,0.4490087032318115
