,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
99,50,0.3,0.1,1695,100,1,0.6499598026275635
100,50,0.3,0.2,1697,110,1,0.816601037979126
101,50,0.3,0.2,1674,0,0,1.1334247589111328
102,50,0.3,0.2,3,0,0,0.08236885070800781
103,50,0.3,0.2,5,0,0,0.015619516372680664
104,50,0.3,0.2,3,0,0,0.05520510673522949
105,50,0.3,0.2,74,0,0,0.28649187088012695
106,50,0.3,0.2,6,0,0,0.01869654655456543
107,50,0.3,0.2,1668,0,0,0.700512170791626
108,50,0.3,0.2,1708,98,1,0.8150718212127686
109,50,0.3,0.2,1678,0,0,0.6142525672912598
110,50,0.3,0.2,1613,0,0,1.100661039352417
111,50,0.3,0.2,1707,0,0,1.149949550628662
112,50,0.3,0.2,1665,104,1,0.7177121639251709
113,50,0.3,0.2,1744,98,1,0.6797411441802979
114,50,0.3,0.2,13,0,0,0.6498284339904785
115,50,0.3,0.2,4,0,0,0.19394350051879883
116,50,0.3,0.2,1714,108,1,0.7933030128479004
117,50,0.3,0.2,1692,98,1,0.5860261917114258
118,50,0.3,0.2,21,0,0,0.6333661079406738
119,50,0.3,0.2,1676,98,1,0.6833250522613525
120,50,0.3,0.2,1690,0,0,0.5999805927276611
121,50,0.3,0.2,1749,0,0,1.1998517513275146
122,50,0.3,0.2,258,0,0,0.2948431968688965
123,50,0.3,0.2,1694,98,1,0.7082901000976562
124,50,0.3,0.2,14,0,0,0.0146942138671875
125,50,0.3,0.2,1740,0,0,1.1908588409423828
126,50,0.3,0.2,1687,0,0,0.9333136081695557
127,50,0.3,0.2,1751,98,1,1.0593464374542236
128,50,0.3,0.2,1720,98,1,0.8137757778167725
129,50,0.3,0.2,1757,98,1,0.8262875080108643
130,50,0.3,0.2,1670,104,1,0.8331830501556396
131,50,0.3,0.2,724,106,1,0.1667346954345703
132,50,0.3,0.2,1685,98,1,0.7692344188690186
133,50,0.3,0.2,1705,104,1,0.7830233573913574
134,50,0.3,0.2,1555,110,1,0.6818175315856934
135,50,0.3,0.2,1533,0,0,0.7001895904541016
136,50,0.3,0.2,5,0,0,0.1674811840057373
137,50,0.3,0.2,20,0,0,0.13354706764221191
138,50,0.3,0.2,7,0,0,0.18335509300231934
139,50,0.3,0.2,1727,98,1,0.8010222911834717
140,50,0.3,0.2,1658,0,0,1.149883508682251
141,50,0.3,0.2,36,0,0,0.23451685905456543
142,50,0.3,0.2,1676,98,1,0.7343227863311768
143,50,0.3,0.2,1694,0,0,0.6166019439697266
144,50,0.3,0.2,9,0,0,0.3000364303588867
145,50,0.3,0.2,1699,98,1,0.7166979312896729
146,50,0.3,0.2,1624,106,1,0.6592702865600586
147,50,0.3,0.2,1650,0,0,1.0999140739440918
148,50,0.3,0.2,1658,0,0,0.6330587863922119
149,50,0.3,0.2,1687,104,1,0.665259838104248
150,50,0.3,0.2,1,0,0,0.015661239624023438
151,50,0.3,0.2,1672,0,0,0.6698653697967529
152,50,0.3,0.2,1661,98,1,0.7599220275878906
153,50,0.3,0.2,1691,98,1,0.784414529800415
154,50,0.3,0.2,1636,102,1,0.8008241653442383
155,50,0.3,0.2,8,0,0,0.2389829158782959
156,50,0.3,0.2,37,0,0,0.17731308937072754
157,50,0.3,0.2,1746,100,1,0.784665584564209
158,50,0.3,0.2,1745,104,1,0.9164705276489258
159,50,0.3,0.2,16,0,0,0.616783857345581
160,50,0.3,0.2,1694,0,0,1.1315805912017822
161,50,0.3,0.2,1669,0,0,0.7687375545501709
162,50,0.3,0.2,1,0,0,0.14342784881591797
163,50,0.3,0.2,1672,0,0,1.1798949241638184
164,50,0.3,0.2,1685,0,0,1.1687231063842773
165,50,0.3,0.2,1660,0,0,1.1107852458953857
166,50,0.3,0.2,1503,104,1,0.6018376350402832
167,50,0.3,0.2,1715,98,1,0.9290585517883301
168,50,0.3,0.2,82,0,0,0.35476016998291016
169,50,0.3,0.2,1703,98,1,0.8146147727966309
170,50,0.3,0.2,1657,100,1,0.8250210285186768
171,50,0.3,0.2,1717,100,1,0.7297816276550293
172,50,0.3,0.2,6,0,0,0.5928585529327393
173,50,0.3,0.2,1578,98,1,0.5996465682983398
174,50,0.3,0.2,1574,102,1,0.717137336730957
175,50,0.3,0.2,26,0,0,0.02200484275817871
176,50,0.3,0.2,1678,98,1,0.7953488826751709
177,50,0.3,0.2,1585,106,1,0.7865791320800781
178,50,0.3,0.2,1685,102,1,0.6719591617584229
179,50,0.3,0.2,1744,0,0,1.1658527851104736
180,50,0.3,0.2,1519,102,1,0.6858141422271729
181,50,0.3,0.2,1683,102,1,0.7626767158508301
182,50,0.3,0.2,1667,98,1,0.7502617835998535
183,50,0.3,0.2,1617,100,1,0.8441586494445801
184,50,0.3,0.2,1701,98,1,0.766981840133667
185,50,0.3,0.2,1600,100,1,0.649975061416626
186,50,0.3,0.2,29,0,0,0.34114980697631836
187,50,0.3,0.2,1758,98,1,0.8341794013977051
188,50,0.3,0.2,1679,0,0,0.6490099430084229
189,50,0.3,0.2,1716,106,1,0.71293044090271
190,50,0.3,0.2,1727,0,0,1.183122158050537
191,50,0.3,0.2,1681,106,1,0.8373525142669678
192,50,0.3,0.2,1659,98,1,0.573962926864624
193,50,0.3,0.2,1,0,0,0.008817195892333984
194,50,0.3,0.2,1,0,0,0.007978677749633789
195,50,0.3,0.2,62,0,0,0.09909987449645996
196,50,0.3,0.2,7,0,0,0.12096929550170898
197,50,0.3,0.2,1739,104,1,0.5419046878814697
198,50,0.3,0.2,1603,102,1,0.6034088134765625
199,50,0.3,0.2,1581,98,1,0.5775148868560791
200,50,0.3,0.3,4,0,0,0.33443689346313477
201,50,0.3,0.3,1730,98,1,0.9489221572875977
202,50,0.3,0.3,1643,98,1,0.728787899017334
203,50,0.3,0.3,1711,100,1,0.8147556781768799
